hscode,description,net_wt_kg,assess_value_bdt
04022190,,786525,362719831
04059000,Fats And Oils Derived From Milk (Excl. Butter And Dairy Spreads),1728,4435216
04069000,"Cheese, Nes",328,664122
05051000,Raw Feathers For Stuffing; Down,93684,861976884
05059000,Skins And Parts Of Birds (Excl. Feathers For Stuffing; Down),600,5554537
08028090,"Other Areca nuts, EXCL. Wrapped/canned upto 2.5 Kg",3277946,859556771
08029919,Betelnuts,409080,100002884
11081200,Maize (Corn) Starch,86000,5561957
11081400,Manioc (Cassava) Starch,149000,12214984
14019090,Other than Areca Leaves; Sal Leaves; Siali Leaves; Polash Leaves,11220,3907355
15071000,"CRUDE OIL, WHETHER OR NOT DEGUMMED",71532439,10495000622
15111000,Crude oil,984200,123278956
15119090,Palm Oil(Excl.Cude)&Its Fractns....Nes.Incld.Refiend Palm Oil,74296628,9551976130
15171090,"Margarine, excl liquid margarine other than 10kg or above packing",399,545993
15180000,"Animal Or Vegetable Fats And Oils... Chemically Modified, Nes",1180,523174
15211000,Vegetable waxes (excl. triglycerides),375,298009
17011400,Other cane sugar,82154610,3977921576
17019900,"Cane Or Beet Sugar, In Solid Form, Nes Including Chemically Kue Sucoose",729000,60238504
17023090,"GLUCOSE AND GLUCOSE SYRUP, NOT CONTAINING FRUCTOSE OR CONTAINING.. EXCL. LIQUID GLUCO",62000,6637315
19019011,Filled milk powder,75375,24855376
19030000,"Tapioca & Substitutes Prpd.From Starch In Flakes,Grains,Pearls,Sifting Etc",112500,8569737
20081100,"Ground-Nuts, Prepared On Preserved",960,2885734
20091900,"Unfrzn.Orange Juice,Unfermented,Not Containing Added Spirit,Sweetened/Not",18522,3853142
20097900,"OTHER, APPLE JUICE EXCL. BRIX VALUE NOT EXCEEDING 20",10080,2093491
20098900,Juice of any other single fruit or vegetable other than Cranberry Juice,8442,1753301
21069090,Other food preparations not elsewhere specified or incl.(excl. beverage concentrate),3240,1179207
22019000,"OTHER WATER, EXCL.MINERAL WATERS AND AERATED WATERS",90,2253
22029900,"Waters, including mineral waters and aerated waters...Excl. Non-alcoholic beer",1440,841672
22030000,Beer Made From Malt,35798,9355504
22082000,Spirits From Distilled Grape Wine Or Grape Marc,150,79966
22083000,Whiskeys,76728,54389723
22084000,Rum And Tafia,36,15160
22085000,Gin And Geneva,1056,674103
22086000,Vodka,8052,7244234
22087000,Liqueurs And Cordials,488,294777
24012000,"Tobacco, Partly Or Wholly Stemmed/Stripped",30494,15748409
24013000,Tobacco Refuse,31805,1620883
25010010,Pure Sodium Chloride Bp/Usp Pyrogen Free,351000,3524242
25010020,Salt (other than pure sodium chlo.)...solution ..salt boulder for crushing & salt in bul,28000,340182
25010099,Other Salt,4100,96328
25041000,Natural Graphite In Powder Or In Flakes,2048,394322
25059000,Natural Sands(Ex.Silica & Quartz Sands & Metal-Bearing Sands Of Ch.26)Nes,3162000,9364338
